first_name,last_name,address,mobile,drivers_license,dob,age,home_owner,monthly_income,income_verified,employer,total_session_duration,avg_pages_per_session,bounce_rate_flag,scroll_depth_pct,repeat_visitor_count,device_switching,traffic_paid_pct,traffic_organic_pct,time_outside_hours_pct,time_step1,time_step2,time_step3,inter_step_latency,drop_off_step,form_edits,funnel_revisits,funnel_friction_score,email_open_rate,email_click_through_rate,time_to_first_email_open,sms_bounce_rate,sms_reply_rate,click_to_call_ratio,reply_sentiment_score,opt_out_flag,days_since_last_application,days_since_last_session,days_since_last_email_open,days_since_last_sms_reply,event_recency_bucket,frequency_last_30_days,inverse_recency_weight,recency_frequency_interaction,referral_code_used,geo_behavior_distance,support_chat_activity,credit_check_days_ago,risk_proxy_flag,converted
Carmen,Miller,"Unit 2981 Box 1780, DPO AE 20075",8900393863,ki982790,1976-01-31,49,0,3496.71,0,"Castro, Lee and Johnson",44.83,6.39,0,0.22,9,3,0.97,0.03,0.77,71.58,62.73,63.19,39.99,1,1,0,0.52,0.43,0.09,110.52,0.03,0.29,0.37,-0.09,0,151,54,2,1,>90 days,2,0.006578947368421052,0.013157894736842105,0,39.37,3,32,0,0
Alexander,Griffin,"3289 Duncan Rest, South Anthony, IA 02062",262-693-2097,Gw835947,1992-07-26,32,1,3067.53,0,"Walker, Juarez and Wallace",12.63,1.42,0,0.13,15,9,0.44,0.56,0.2,153.6,19.97,273.7,34.76,2,0,1,0.66,0.31,0.1,98.86,0.04,0.97,0.78,0.88,1,87,35,9,13,30–90 days,6,0.011363636363636364,0.06818181818181818,0,44.79,1,24,0,1
Brandon,Collins,"3777 Susan Roads Suite 810, Vazquezburgh, PA 68435",972.651.9231x124,Ae889343,1975-07-28,49,1,3738.47,1,"Wolf, Love and Delacruz",56.94,2.76,0,0.25,2,7,0.36,0.64,0.32,167.38,50.87,242.64,13.57,completed,3,0,0.99,0.77,0.14,1.99,0.16,0.71,0.73,0.54,1,160,79,56,55,>90 days,6,0.006211180124223602,0.037267080745341616,0,4.17,1,2,0,0
Kimberly,Wheeler,"72544 Chelsea Course, South Kristinborough, MO 67999",+1-082-246-5776x7638,MU758043,2005-01-16,20,0,2160.78,0,"Wilson, Johnson and Mclaughlin",38.95,6.61,0,0.27,4,6,0.64,0.36,0.81,146.94,44.68,216.84,92.49,2,3,2,0.56,0.77,0.23,94.57,0.09,0.03,0.11,-0.94,0,94,45,13,42,>90 days,5,0.010526315789473684,0.05263157894736842,0,32.0,9,40,0,0
Alexandra,Petersen,"6121 Charles Pass, Russellshire, ID 91488",935-644-5081x088,Ff557927,1995-12-12,29,0,3091.76,0,"Greene, Zimmerman and Trevino",32.03,3.06,0,0.06,15,6,0.8,0.2,0.25,268.84,166.41,244.16,108.05,2,5,1,0.32,0.11,0.02,77.45,0.16,0.86,0.01,0.02,1,14,29,52,2,7–30 days,6,0.06666666666666667,0.4,1,21.16,4,4,0,0
James,Compton,"PSC 1944, Box 7847, APO AE 89107",(236)492-1591x40245,dn248852,1976-07-12,48,1,4158.19,0,White-Bonilla,36.19,9.49,0,0.31,16,6,0.96,0.04,0.3,154.2,97.25,92.6,9.24,3,1,2,0.61,0.5,0.06,50.88,0.18,0.24,0.14,-0.02,0,63,71,34,16,30–90 days,10,0.015625,0.15625,1,49.29,9,25,1,1
Brian,Blankenship,"407 Matthew Spur, Carlamouth, GA 03642",+1-818-940-5578x041,db759301,2003-07-23,21,0,4403.96,1,"Ortega, Hubbard and Miller",85.99,3.14,0,0.06,3,0,0.09,0.91,0.77,103.03,64.09,21.82,72.95,completed,1,1,0.68,0.02,0.01,41.54,0.13,0.17,0.69,-0.23,1,152,8,24,24,>90 days,10,0.006535947712418301,0.06535947712418301,1,46.87,8,16,0,0
Crystal,Adams,"3825 Hickman Parkway, New Scott, MT 69059",(185)507-8455x880,Cz969833,1972-09-01,52,0,4392.33,1,"Murphy, Cobb and Parker",36.42,9.32,1,0.09,11,1,0.53,0.47,0.29,37.0,270.19,271.12,77.81,2,3,1,0.34,0.35,0.14,161.58,0.18,0.78,0.64,-0.83,1,0,33,32,48,<7 days,3,1.0,3.0,0,8.5,10,19,0,1
Omar,Gomez,"92041 Cristian Shore, West Daveburgh, WV 33041",+1-738-605-0471x2182,Zc120089,1989-10-11,35,0,3526.45,0,Escobar Group,59.29,1.91,0,0.37,20,5,0.65,0.35,0.28,216.53,78.8,104.37,90.85,3,0,0,0.65,0.85,0.31,102.73,0.02,0.37,0.27,-0.51,1,78,30,3,15,30–90 days,10,0.012658227848101266,0.12658227848101267,0,48.66,1,46,1,0
Tammy,Buck,"9173 Lewis Gardens Suite 283, South Steven, NV 52169",(257)015-1558x9959,WV910904,1993-07-04,31,0,1783.15,0,Larson-Anderson,92.34,8.15,0,0.38,16,8,0.28,0.72,0.12,197.19,61.36,282.73,114.7,1,2,3,0.91,0.37,0.04,167.17,0.09,0.97,0.96,0.71,0,138,88,12,45,>90 days,5,0.007194244604316547,0.03597122302158273,1,15.08,10,41,1,1
